id,index,Event Date,Pref_days,pref_times,pref_topic,Pref_days_cleaned,pref_times_cleaned,pref_topic_cleaned,category,final_category
7574502084,34,2024-09-17, Wednesdays,2pm - 4pm,nil,Wednesdays,2pm - 4pm,,uncategorized,uncategorized
7574502084,34,2024-09-17, Wednesdays, 4pm - 6pm,nil,Wednesdays,4pm - 6pm,,uncategorized,uncategorized
7574502084,34,2024-09-17, Wednesdays, 6pm - 8pm,nil,Wednesdays,6pm - 8pm,,uncategorized,uncategorized
7574502084,34,2024-09-17, Thursdays,2pm - 4pm,nil,Thursdays,2pm - 4pm,,uncategorized,uncategorized
7574502084,34,2024-09-17, Thursdays, 4pm - 6pm,nil,Thursdays,4pm - 6pm,,uncategorized,uncategorized
7574502084,34,2024-09-17, Thursdays, 6pm - 8pm,nil,Thursdays,6pm - 8pm,,uncategorized,uncategorized
7574508202,38,2024-09-26,Thursdays,4pm - 6pm,nil,Thursdays,4pm - 6pm,,uncategorized,uncategorized
7574509734,39,2024-09-26,Fridays,6pm - 8pm,nil,Fridays,6pm - 8pm,,uncategorized,uncategorized
7574516289,43,2024-09-26,Mondays,4pm - 6pm,nil,Mondays,4pm - 6pm,,uncategorized,uncategorized
7574516289,43,2024-09-26,Mondays, 6pm - 8pm,nil,Mondays,6pm - 8pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Tuesdays,4pm - 6pm,nil,Tuesdays,4pm - 6pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Tuesdays, 6pm - 8pm,nil,Tuesdays,6pm - 8pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Wednesdays,4pm - 6pm,nil,Wednesdays,4pm - 6pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Wednesdays, 6pm - 8pm,nil,Wednesdays,6pm - 8pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Thursdays,4pm - 6pm,nil,Thursdays,4pm - 6pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Thursdays, 6pm - 8pm,nil,Thursdays,6pm - 8pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Fridays,4pm - 6pm,nil,Fridays,4pm - 6pm,,uncategorized,uncategorized
7574516289,43,2024-09-26, Fridays, 6pm - 8pm,nil,Fridays,6pm - 8pm,,uncategorized,uncategorized
8907081097,44,2025-04-10,Thursdays,4pm - 6pm,-,Thursdays,4pm - 6pm,-,uncategorized,uncategorized
